"projectID","projectAcronym","organisationID","vatNumber","name","shortName","SME","activityType","street","postCode","city","country","nutsCode","geolocation","organizationURL","contactForm","contentUpdateDate","rcn","order","role","ecContribution","netEcContribution","totalCost","endOfParticipation","active"
870232,"EuGeNeS",972704167,"","SHOTA RUSTAVELI NATIONAL SCIENCE FOUNDATION","","false","PUB","ALEKSIDZE 1","0193","Tbilisi","GE","GE","41.7184953,44.78194728871392","http://www.rustaveli.org.ge","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/972704167/870232","2023-12-19 19:00:51",1908436,1,"coordinator",2e+05,2e+05,"200000","false",""
101016460,"EU4ART_differences",949253447,"LV90000029965","LATVIJAS MAKSLAS AKADEMIJA","ART ACADEMY OF LATVIA","false","PUB","KALPAKA BULVARIS 13","1867","Riga","LV","LV006","56.9567369,24.1077797","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/949253447/101016460","2024-07-22 14:36:01",1969275,4,"participant",449999.99,433599.99,"0","false",""
826027,"FISRAD",949436777,"","REGIA AUTONOMA TEHNOLOGII PENTRU ENERGIA NUCLEARA - RATEN","RATEN","false","PUB","STRADA CAMPULUI 1","115400","Mioveni","RO","RO311","44.9459135,24.9211543235615","http://www.raten.ro","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/949436777/826027","2022-08-19 19:14:17",1906604,1,"coordinator",250000,250000,"289437,5","false",""
831250,"InnoCap Transylvania",998907844,"","AGENTIA DE DEZVOLTARE REGIONALA NORD-VEST","ADR NORD-VEST","false","PUB","SAT RADAIA 50","407059","Baciu Cluj","RO","RO113","46.7897349,23.5276882","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/998907844/831250","2022-08-18 13:08:11",2113061,1,"coordinator",7867.5,7867.5,"7867,5","false",""
831250,"InnoCap Transylvania",944370370,"RO4443167","CAMERA DE COMERT SI INDUSTRIE BRASOV","CCIBV","false","PUB","MIHAIL KOGALNICEANU 18 20 BL 1K SC DD","500173","Brasov","RO","RO122","45.786022200000005,25.154073195629685","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/944370370/831250","2022-08-18 13:08:11",2561410,6,"participant",5237.5,5237.5,"5237,5","false",""
743490,"InnoCap Transylvania",998907844,"","AGENTIA DE DEZVOLTARE REGIONALA NORD-VEST","ADR NORD-VEST","false","PUB","SAT RADAIA 50","407059","Baciu Cluj","RO","RO113","46.7897349,23.5276882","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/998907844/743490","2022-08-15 23:50:07",2113061,1,"coordinator",11670,11670,"11670","false",""
743490,"InnoCap Transylvania",944370370,"RO4443167","CAMERA DE COMERT SI INDUSTRIE BRASOV","CCIBV","false","PUB","MIHAIL KOGALNICEANU 18 20 BL 1K SC DD","500173","Brasov","RO","RO122","45.786022200000005,25.154073195629685","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/944370370/743490","2022-08-15 23:50:07",2561410,6,"participant",7625,7625,"7625","false",""
831235,"EEN-Ukraine",938295066,"","MINISTRY OF FOREIGN AFFAIRS","MINISTRY OF FOREIGN AFFAIRS OF UKRAINE","false","PUB","MYKHAILIVSKA SQUARE 1","01018","KYIV","UA","UA","50.456948440619016,30.52140968889898","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/938295066/831235","2022-08-25 21:50:05",3099134,5,"participant",NA,NA,"","false","false"
831235,"EEN-Ukraine",927605666,"","MINISTRY OF ECONOMY OF UKRAINE","MINISTRY OF ECONOMY OF UKRAINE","false","PUB","HRUSHEVSKOHO ST 12/2","01008","KYIV","UA","UA","50.4500336,30.5241361","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/927605666/831235","2022-08-25 21:50:05",3099136,7,"participant",NA,NA,"","false","false"
831235,"EEN-Ukraine",899486433,"","STATE INSTITUTION ENTREPRENEURSHIP AND EXPORT PROMOTION OFFICE","","false","PUB","BOULEVARD DRUZHBY NARODIV 28","01103","KYIV","UA","UA","50.4500336,30.5241361","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/899486433/831235","2022-08-25 21:50:05",1971433,8,"participant",NA,NA,"","false","false"
674866,"InnoCap Transylvania",998907844,"","AGENTIA DE DEZVOLTARE REGIONALA NORD-VEST","ADR NORD-VEST","false","PUB","SAT RADAIA 50","407059","Baciu Cluj","RO","RO113","46.7897349,23.5276882","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/998907844/674866","2022-09-03 23:00:00",2113061,1,"coordinator",23100,23100,"23100","false",""
674866,"InnoCap Transylvania",944370370,"RO4443167","CAMERA DE COMERT SI INDUSTRIE BRASOV","CCIBV","false","PUB","MIHAIL KOGALNICEANU 18 20 BL 1K SC DD","500173","Brasov","RO","RO122","45.786022200000005,25.154073195629685","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/944370370/674866","2022-09-03 23:00:00",2561410,6,"participant",8400,8400,"8400","false",""
